序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2015年05月,155,96,59,-,-
2,新北市,2015年05月,276,169,106,1,1
3,臺中市,2015年05月,155,105,50,-,-
4,臺南市,2015年05月,124,91,33,-,-
5,高雄市,2015年05月,248,198,50,-,-
6,基隆市,2015年05月,31,19,12,-,-
7,新竹市,2015年05月,31,25,6,-,-
8,嘉義市,2015年05月,31,19,12,-,-
9,宜蘭縣,2015年05月,62,57,5,-,-
10,桃園市,2015年05月,124,82,42,-,-
11,新竹縣,2015年05月,62,45,17,-,-
12,苗栗縣,2015年05月,62,37,25,-,-
13,彰化縣,2015年05月,62,40,22,-,-
14,南投縣,2015年05月,62,33,29,-,-
15,雲林縣,2015年05月,62,43,19,-,-
16,嘉義縣,2015年05月,62,41,21,-,-
17,屏東縣,2015年05月,93,73,20,-,-
18,臺東縣,2015年05月,31,31,-,-,-
19,花蓮縣,2015年05月,31,29,2,-,-
20,澎湖縣,2015年05月,31,24,7,-,-
21,金門縣,2015年05月,31,16,15,-,-
22,連江縣,2015年05月,31,11,20,-,-
