序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2015年08月,155,111,44,-,-
2,新北市,2015年08月,276,201,74,1,1
3,臺中市,2015年08月,155,127,19,9,9
4,臺南市,2015年08月,124,86,38,-,-
5,高雄市,2015年08月,237,166,71,-,-
6,基隆市,2015年08月,31,27,4,-,-
7,新竹市,2015年08月,31,28,3,-,-
8,嘉義市,2015年08月,31,19,12,-,-
9,宜蘭縣,2015年08月,62,58,4,-,-
10,桃園市,2015年08月,123,93,30,-,-
11,新竹縣,2015年08月,62,49,13,-,-
12,苗栗縣,2015年08月,62,49,12,1,1
13,彰化縣,2015年08月,61,48,13,-,-
14,南投縣,2015年08月,62,40,21,1,1
15,雲林縣,2015年08月,62,47,15,-,-
16,嘉義縣,2015年08月,62,44,18,-,-
17,屏東縣,2015年08月,93,60,31,2,2
18,臺東縣,2015年08月,31,29,2,-,-
19,花蓮縣,2015年08月,31,31,-,-,-
20,澎湖縣,2015年08月,31,28,3,-,-
21,金門縣,2015年08月,31,17,14,-,-
22,連江縣,2015年08月,31,18,13,-,-
