序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧,懸浮微粒
1,臺北市,2014年03月,155,59,96,-,-,-
2,新北市,2014年03月,279,116,163,-,-,-
3,臺中市,2014年03月,155,39,115,1,-,1
4,臺南市,2014年03月,124,7,114,3,-,3
5,高雄市,2014年03月,248,35,207,6,4,2
6,基隆市,2014年03月,31,18,13,-,-,-
7,新竹市,2014年03月,31,9,22,-,-,-
8,嘉義市,2014年03月,31,2,28,1,-,1
9,宜蘭縣,2014年03月,62,39,23,-,-,-
10,桃園市,2014年03月,124,40,84,-,-,-
11,新竹縣,2014年03月,62,20,42,-,-,-
12,苗栗縣,2014年03月,62,21,41,-,-,-
13,彰化縣,2014年03月,62,12,50,-,-,-
14,南投縣,2014年03月,62,2,60,-,-,-
15,雲林縣,2014年03月,62,5,57,-,-,-
16,嘉義縣,2014年03月,62,1,59,2,-,2
17,屏東縣,2014年03月,93,28,60,5,5,-
18,臺東縣,2014年03月,31,27,4,-,-,-
19,花蓮縣,2014年03月,31,26,5,-,-,-
20,澎湖縣,2014年03月,31,12,19,-,-,-
21,金門縣,2014年03月,31,6,25,-,-,-
22,連江縣,2014年03月,31,11,20,-,-,-
