序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧,懸浮微粒
1,臺北市,2015年12月,155,109,46,-,-,-
2,新北市,2015年12月,279,194,85,-,-,-
3,臺中市,2015年12月,155,90,65,-,-,-
4,臺南市,2015年12月,124,12,112,-,-,-
5,高雄市,2015年12月,248,23,224,1,-,1
6,基隆市,2015年12月,31,26,5,-,-,-
7,新竹市,2015年12月,31,22,9,-,-,-
8,嘉義市,2015年12月,31,3,28,-,-,-
9,宜蘭縣,2015年12月,62,50,12,-,-,-
10,桃園市,2015年12月,124,85,39,-,-,-
11,新竹縣,2015年12月,62,44,18,-,-,-
12,苗栗縣,2015年12月,62,39,23,-,-,-
13,彰化縣,2015年12月,62,33,29,-,-,-
14,南投縣,2015年12月,62,8,54,-,-,-
15,雲林縣,2015年12月,62,20,41,1,-,1
16,嘉義縣,2015年12月,62,5,56,1,-,1
17,屏東縣,2015年12月,93,29,63,1,1,-
18,臺東縣,2015年12月,31,29,2,-,-,-
19,花蓮縣,2015年12月,31,30,1,-,-,-
20,澎湖縣,2015年12月,31,22,9,-,-,-
21,金門縣,2015年12月,31,11,20,-,-,-
22,連江縣,2015年12月,31,22,9,-,-,-
