序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2016年08月,155,86,65,4,4
2,新北市,2016年08月,279,153,121,5,5
3,臺中市,2016年08月,155,58,97,-,-
4,臺南市,2016年08月,124,58,66,-,-
5,高雄市,2016年08月,247,146,100,1,1
6,基隆市,2016年08月,31,22,9,-,-
7,新竹市,2016年08月,31,15,16,-,-
8,嘉義市,2016年08月,31,13,18,-,-
9,宜蘭縣,2016年08月,62,49,13,-,-
10,桃園市,2016年08月,124,67,57,-,-
11,新竹縣,2016年08月,62,30,32,-,-
12,苗栗縣,2016年08月,62,33,29,-,-
13,彰化縣,2016年08月,62,32,30,-,-
14,南投縣,2016年08月,62,16,46,-,-
15,雲林縣,2016年08月,62,22,40,-,-
16,嘉義縣,2016年08月,62,27,35,-,-
17,屏東縣,2016年08月,93,43,50,-,-
18,臺東縣,2016年08月,31,31,-,-,-
19,花蓮縣,2016年08月,31,26,5,-,-
20,澎湖縣,2016年08月,31,23,8,-,-
21,金門縣,2016年08月,31,14,17,-,-
22,連江縣,2016年08月,31,16,15,-,-
