序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2015年04月,150,65,84,1,1
2,新北市,2015年04月,270,123,147,-,-
3,臺中市,2015年04月,150,54,96,-,-
4,臺南市,2015年04月,120,44,76,-,-
5,高雄市,2015年04月,240,80,160,-,-
6,基隆市,2015年04月,30,17,13,-,-
7,新竹市,2015年04月,30,17,13,-,-
8,嘉義市,2015年04月,30,7,23,-,-
9,宜蘭縣,2015年04月,60,45,15,-,-
10,桃園市,2015年04月,120,54,66,-,-
11,新竹縣,2015年04月,60,32,28,-,-
12,苗栗縣,2015年04月,60,16,44,-,-
13,彰化縣,2015年04月,60,27,33,-,-
14,南投縣,2015年04月,60,12,48,-,-
15,雲林縣,2015年04月,60,23,37,-,-
16,嘉義縣,2015年04月,60,21,39,-,-
17,屏東縣,2015年04月,90,39,48,3,3
18,臺東縣,2015年04月,30,26,4,-,-
19,花蓮縣,2015年04月,30,25,5,-,-
20,澎湖縣,2015年04月,30,18,12,-,-
21,金門縣,2015年04月,30,13,17,-,-
22,連江縣,2015年04月,30,10,20,-,-
