序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧,懸浮微粒
1,臺北市,2016年10月,155,128,24,3,3,-
2,新北市,2016年10月,279,215,60,4,4,-
3,臺中市,2016年10月,153,51,92,10,10,-
4,臺南市,2016年10月,124,41,81,2,2,-
5,高雄市,2016年10月,248,64,179,5,4,1
6,基隆市,2016年10月,31,29,2,-,-,-
7,新竹市,2016年10月,31,18,12,1,1,-
8,嘉義市,2016年10月,31,8,23,-,-,-
9,宜蘭縣,2016年10月,62,61,1,-,-,-
10,桃園市,2016年10月,124,96,27,1,1,-
11,新竹縣,2016年10月,62,35,25,2,2,-
12,苗栗縣,2016年10月,62,29,31,2,2,-
13,彰化縣,2016年10月,62,22,39,1,1,-
14,南投縣,2016年10月,62,18,44,-,-,-
15,雲林縣,2016年10月,62,20,42,-,-,-
16,嘉義縣,2016年10月,62,16,45,1,1,-
17,屏東縣,2016年10月,93,48,40,5,5,-
18,臺東縣,2016年10月,31,29,2,-,-,-
19,花蓮縣,2016年10月,31,31,-,-,-,-
20,澎湖縣,2016年10月,31,26,5,-,-,-
21,金門縣,2016年10月,31,20,11,-,-,-
