序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧,懸浮微粒
1,臺北市,2016年04月,150,53,96,1,1,-
2,新北市,2016年04月,270,91,177,2,2,-
3,臺中市,2016年04月,150,53,95,2,2,-
4,臺南市,2016年04月,120,64,56,-,-,-
5,高雄市,2016年04月,240,117,120,3,3,-
6,基隆市,2016年04月,30,15,15,-,-,-
7,新竹市,2016年04月,30,13,17,-,-,-
8,嘉義市,2016年04月,30,13,16,1,1,-
9,宜蘭縣,2016年04月,60,36,24,-,-,-
10,桃園市,2016年04月,120,39,81,-,-,-
11,新竹縣,2016年04月,60,28,32,-,-,-
12,苗栗縣,2016年04月,60,24,36,-,-,-
13,彰化縣,2016年04月,60,26,33,1,1,-
14,南投縣,2016年04月,60,22,37,1,1,-
15,雲林縣,2016年04月,60,27,30,3,2,1
16,嘉義縣,2016年04月,60,18,39,3,1,2
17,屏東縣,2016年04月,90,49,39,2,2,-
18,臺東縣,2016年04月,30,27,3,-,-,-
19,花蓮縣,2016年04月,30,21,9,-,-,-
20,澎湖縣,2016年04月,30,20,10,-,-,-
21,金門縣,2016年04月,30,14,16,-,-,-
22,連江縣,2016年04月,30,13,17,-,-,-
