序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧,懸浮微粒
1,臺北市,2013年02月,140,85,55,-,-,-
2,新北市,2013年02月,252,169,83,-,-,-
3,臺中市,2013年02月,112,45,66,1,-,1
4,臺南市,2013年02月,112,12,94,6,-,6
5,高雄市,2013年02月,224,5,210,9,3,6
6,基隆市,2013年02月,28,27,1,-,-,-
7,新竹市,2013年02月,28,13,15,-,-,-
8,嘉義市,2013年02月,28,4,23,1,-,1
9,宜蘭縣,2013年02月,56,53,3,-,-,-
10,桃園市,2013年02月,112,61,51,-,-,-
11,新竹縣,2013年02月,56,35,21,-,-,-
12,苗栗縣,2013年02月,56,33,23,-,-,-
13,彰化縣,2013年02月,56,16,39,1,-,1
14,南投縣,2013年02月,56,13,41,2,-,2
15,雲林縣,2013年02月,56,14,40,2,-,2
16,嘉義縣,2013年02月,56,7,44,5,-,5
17,屏東縣,2013年02月,84,27,53,4,3,1
18,臺東縣,2013年02月,28,28,-,-,-,-
19,花蓮縣,2013年02月,28,28,-,-,-,-
20,澎湖縣,2013年02月,28,16,12,-,-,-
21,金門縣,2013年02月,28,13,14,1,-,1
22,連江縣,2013年02月,28,16,12,-,-,-
