序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2015年07月,154,67,82,5,5
2,新北市,2015年07月,279,146,127,6,6
3,臺中市,2015年07月,155,102,53,-,-
4,臺南市,2015年07月,124,101,23,-,-
5,高雄市,2015年07月,248,180,68,-,-
6,基隆市,2015年07月,31,21,10,-,-
7,新竹市,2015年07月,31,27,4,-,-
8,嘉義市,2015年07月,31,19,12,-,-
9,宜蘭縣,2015年07月,62,50,12,-,-
10,桃園市,2015年07月,124,65,58,1,1
11,新竹縣,2015年07月,62,35,27,-,-
12,苗栗縣,2015年07月,62,42,20,-,-
13,彰化縣,2015年07月,62,43,19,-,-
14,南投縣,2015年07月,62,32,30,-,-
15,雲林縣,2015年07月,62,39,23,-,-
16,嘉義縣,2015年07月,62,45,17,-,-
17,屏東縣,2015年07月,93,72,20,1,1
18,臺東縣,2015年07月,31,31,-,-,-
19,花蓮縣,2015年07月,31,28,3,-,-
20,澎湖縣,2015年07月,31,29,2,-,-
21,金門縣,2015年07月,31,21,10,-,-
22,連江縣,2015年07月,31,21,10,-,-
