序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2016年03月,155,96,59,-,-
2,新北市,2016年03月,279,147,132,-,-
3,臺中市,2016年03月,155,66,89,-,-
4,臺南市,2016年03月,124,33,91,-,-
5,高雄市,2016年03月,248,49,192,7,7
6,基隆市,2016年03月,31,19,12,-,-
7,新竹市,2016年03月,31,15,16,-,-
8,嘉義市,2016年03月,31,7,24,-,-
9,宜蘭縣,2016年03月,62,45,17,-,-
10,桃園市,2016年03月,124,59,65,-,-
11,新竹縣,2016年03月,62,34,28,-,-
12,苗栗縣,2016年03月,62,29,33,-,-
13,彰化縣,2016年03月,62,23,39,-,-
14,南投縣,2016年03月,62,14,48,-,-
15,雲林縣,2016年03月,62,18,44,-,-
16,嘉義縣,2016年03月,62,16,46,-,-
17,屏東縣,2016年03月,93,31,61,1,1
18,臺東縣,2016年03月,31,28,3,-,-
19,花蓮縣,2016年03月,31,24,7,-,-
20,澎湖縣,2016年03月,31,18,13,-,-
21,金門縣,2016年03月,31,8,23,-,-
22,連江縣,2016年03月,31,11,20,-,-
