序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧,懸浮微粒
1,臺北市,2016年11月,150,118,31,1,1,-
2,新北市,2016年11月,270,188,78,4,4,-
3,臺中市,2016年11月,150,70,80,-,-,-
4,臺南市,2016年11月,120,28,91,1,1,-
5,高雄市,2016年11月,240,26,199,15,14,1
6,基隆市,2016年11月,30,27,3,-,-,-
7,新竹市,2016年11月,30,17,13,-,-,-
8,嘉義市,2016年11月,30,8,22,-,-,-
9,宜蘭縣,2016年11月,60,56,4,-,-,-
10,桃園市,2016年11月,120,72,48,-,-,-
11,新竹縣,2016年11月,60,36,24,-,-,-
12,苗栗縣,2016年11月,60,34,26,-,-,-
13,彰化縣,2016年11月,60,23,37,-,-,-
14,南投縣,2016年11月,60,16,43,1,1,-
15,雲林縣,2016年11月,60,17,43,-,-,-
16,嘉義縣,2016年11月,60,16,43,1,1,-
17,屏東縣,2016年11月,90,34,51,5,5,-
18,臺東縣,2016年11月,29,25,4,-,-,-
19,花蓮縣,2016年11月,30,28,2,-,-,-
20,澎湖縣,2016年11月,30,23,7,-,-,-
21,金門縣,2016年11月,30,9,21,-,-,-
22,連江縣,2016年11月,30,19,11,-,-,-
