序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2013年05月,154,104,47,3,3
2,新北市,2013年05月,279,164,115,-,-
3,臺中市,2013年05月,155,84,71,-,-
4,臺南市,2013年05月,124,73,51,-,-
5,高雄市,2013年05月,248,142,106,-,-
6,基隆市,2013年05月,31,22,9,-,-
7,新竹市,2013年05月,31,19,12,-,-
8,嘉義市,2013年05月,31,17,14,-,-
9,宜蘭縣,2013年05月,62,56,6,-,-
10,桃園市,2013年05月,124,64,60,-,-
11,新竹縣,2013年05月,62,33,29,-,-
12,苗栗縣,2013年05月,62,37,25,-,-
13,彰化縣,2013年05月,62,34,28,-,-
14,南投縣,2013年05月,62,34,28,-,-
15,雲林縣,2013年05月,62,39,23,-,-
16,嘉義縣,2013年05月,62,36,26,-,-
17,屏東縣,2013年05月,83,55,28,-,-
18,臺東縣,2013年05月,31,30,1,-,-
19,花蓮縣,2013年05月,31,28,3,-,-
20,澎湖縣,2013年05月,31,23,8,-,-
21,金門縣,2013年05月,31,14,17,-,-
22,連江縣,2013年05月,31,13,18,-,-
