序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧,懸浮微粒
1,臺北市,2013年04月,150,54,96,-,-,-
2,新北市,2013年04月,270,98,171,1,1,-
3,臺中市,2013年04月,134,31,103,-,-,-
4,臺南市,2013年04月,118,7,111,-,-,-
5,高雄市,2013年04月,240,42,196,2,2,-
6,基隆市,2013年04月,30,12,18,-,-,-
7,新竹市,2013年04月,30,8,22,-,-,-
8,嘉義市,2013年04月,30,4,26,-,-,-
9,宜蘭縣,2013年04月,60,42,18,-,-,-
10,桃園市,2013年04月,120,33,87,-,-,-
11,新竹縣,2013年04月,60,18,42,-,-,-
12,苗栗縣,2013年04月,60,24,36,-,-,-
13,彰化縣,2013年04月,60,13,47,-,-,-
14,南投縣,2013年04月,60,14,46,-,-,-
15,雲林縣,2013年04月,60,14,46,-,-,-
16,嘉義縣,2013年04月,60,8,52,-,-,-
17,屏東縣,2013年04月,90,23,66,1,1,-
18,臺東縣,2013年04月,30,26,4,-,-,-
19,花蓮縣,2013年04月,30,24,6,-,-,-
20,澎湖縣,2013年04月,30,8,22,-,-,-
21,金門縣,2013年04月,30,3,25,2,-,2
22,連江縣,2013年04月,30,2,27,1,1,-
