序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧,懸浮微粒
1,臺北市,2014年01月,155,72,81,2,-,2
2,新北市,2014年01月,277,146,129,2,1,1
3,臺中市,2014年01月,155,39,116,-,-,-
4,臺南市,2014年01月,124,-,108,16,1,15
5,高雄市,2014年01月,248,-,222,26,5,21
6,基隆市,2014年01月,31,22,9,-,-,-
7,新竹市,2014年01月,31,13,18,-,-,-
8,嘉義市,2014年01月,31,-,28,3,-,3
9,宜蘭縣,2014年01月,62,39,23,-,-,-
10,桃園市,2014年01月,124,43,79,2,-,2
11,新竹縣,2014年01月,62,26,36,-,-,-
12,苗栗縣,2014年01月,62,24,38,-,-,-
13,彰化縣,2014年01月,62,8,52,2,-,2
14,南投縣,2014年01月,62,1,61,-,-,-
15,雲林縣,2014年01月,62,2,55,5,-,5
16,嘉義縣,2014年01月,62,-,54,8,-,8
17,屏東縣,2014年01月,93,20,66,7,4,3
18,臺東縣,2014年01月,31,22,9,-,-,-
19,花蓮縣,2014年01月,31,24,7,-,-,-
20,澎湖縣,2014年01月,31,12,19,-,-,-
21,金門縣,2014年01月,31,-,24,7,-,7
22,連江縣,2014年01月,31,12,16,3,-,3
