序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2014年04月,150,54,95,1,1
2,新北市,2014年04月,269,112,153,4,4
3,臺中市,2014年04月,150,18,132,-,-
4,臺南市,2014年04月,120,8,112,-,-
5,高雄市,2014年04月,240,20,214,6,6
6,基隆市,2014年04月,30,12,18,-,-
7,新竹市,2014年04月,30,9,21,-,-
8,嘉義市,2014年04月,30,3,27,-,-
9,宜蘭縣,2014年04月,60,38,22,-,-
10,桃園市,2014年04月,120,28,91,1,1
11,新竹縣,2014年04月,60,16,44,-,-
12,苗栗縣,2014年04月,60,16,44,-,-
13,彰化縣,2014年04月,60,9,51,-,-
14,南投縣,2014年04月,60,1,59,-,-
15,雲林縣,2014年04月,60,9,51,-,-
16,嘉義縣,2014年04月,60,3,57,-,-
17,屏東縣,2014年04月,89,19,68,2,2
18,臺東縣,2014年04月,30,26,4,-,-
19,花蓮縣,2014年04月,30,27,3,-,-
20,澎湖縣,2014年04月,28,9,19,-,-
21,金門縣,2014年04月,30,4,26,-,-
22,連江縣,2014年04月,30,6,24,-,-
