序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2016年06月,150,81,68,1,1
2,新北市,2016年06月,270,146,122,2,2
3,臺中市,2016年06月,150,108,42,-,-
4,臺南市,2016年06月,120,100,20,-,-
5,高雄市,2016年06月,240,213,27,-,-
6,基隆市,2016年06月,30,17,13,-,-
7,新竹市,2016年06月,30,26,4,-,-
8,嘉義市,2016年06月,30,24,6,-,-
9,宜蘭縣,2016年06月,60,58,2,-,-
10,桃園市,2016年06月,120,83,37,-,-
11,新竹縣,2016年06月,60,47,13,-,-
12,苗栗縣,2016年06月,60,48,12,-,-
13,彰化縣,2016年06月,60,51,9,-,-
14,南投縣,2016年06月,60,42,18,-,-
15,雲林縣,2016年06月,60,48,12,-,-
16,嘉義縣,2016年06月,60,51,9,-,-
17,屏東縣,2016年06月,90,82,8,-,-
18,臺東縣,2016年06月,30,30,-,-,-
19,花蓮縣,2016年06月,30,30,-,-,-
20,澎湖縣,2016年06月,30,29,1,-,-
21,金門縣,2016年06月,30,27,3,-,-
22,連江縣,2016年06月,30,16,14,-,-
