序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧,懸浮微粒
1,臺北市,2015年02月,140,74,66,-,-,-
2,新北市,2015年02月,252,137,115,-,-,-
3,臺中市,2015年02月,140,52,88,-,-,-
4,臺南市,2015年02月,112,10,102,-,-,-
5,高雄市,2015年02月,224,6,210,8,2,6
6,基隆市,2015年02月,28,20,8,-,-,-
7,新竹市,2015年02月,28,15,13,-,-,-
8,嘉義市,2015年02月,28,1,27,-,-,-
9,宜蘭縣,2015年02月,56,39,17,-,-,-
10,桃園市,2015年02月,112,59,53,-,-,-
11,新竹縣,2015年02月,56,30,26,-,-,-
12,苗栗縣,2015年02月,56,26,30,-,-,-
13,彰化縣,2015年02月,56,20,36,-,-,-
14,南投縣,2015年02月,56,2,54,-,-,-
15,雲林縣,2015年02月,56,10,44,2,-,2
16,嘉義縣,2015年02月,56,2,52,2,-,2
17,屏東縣,2015年02月,84,19,64,1,-,1
18,臺東縣,2015年02月,28,24,4,-,-,-
19,花蓮縣,2015年02月,28,21,7,-,-,-
20,澎湖縣,2015年02月,28,15,13,-,-,-
21,金門縣,2015年02月,28,6,22,-,-,-
22,連江縣,2015年02月,28,15,13,-,-,-
