序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2014年09月,150,87,61,2,2
2,新北市,2014年09月,270,159,105,6,6
3,臺中市,2014年09月,150,48,100,2,2
4,臺南市,2014年09月,120,54,61,5,5
5,高雄市,2014年09月,240,93,142,5,5
6,基隆市,2014年09月,30,22,8,-,-
7,新竹市,2014年09月,30,14,16,-,-
8,嘉義市,2014年09月,30,10,20,-,-
9,宜蘭縣,2014年09月,60,56,4,-,-
10,桃園市,2014年09月,120,71,49,-,-
11,新竹縣,2014年09月,60,27,31,2,2
12,苗栗縣,2014年09月,60,24,35,1,1
13,彰化縣,2014年09月,60,31,29,-,-
14,南投縣,2014年09月,60,14,45,1,1
15,雲林縣,2014年09月,60,21,39,-,-
16,嘉義縣,2014年09月,60,26,33,1,1
17,屏東縣,2014年09月,90,43,44,3,3
18,臺東縣,2014年09月,30,30,-,-,-
19,花蓮縣,2014年09月,30,29,1,-,-
20,澎湖縣,2014年09月,30,26,4,-,-
21,金門縣,2014年09月,30,11,19,-,-
22,連江縣,2014年09月,30,13,17,-,-
