序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2013年07月,154,49,103,2,2
2,新北市,2013年07月,279,110,165,4,4
3,臺中市,2013年07月,155,88,66,1,1
4,臺南市,2013年07月,124,59,65,-,-
5,高雄市,2013年07月,248,154,91,3,3
6,基隆市,2013年07月,31,22,9,-,-
7,新竹市,2013年07月,31,25,6,-,-
8,嘉義市,2013年07月,31,13,18,-,-
9,宜蘭縣,2013年07月,62,59,3,-,-
10,桃園市,2013年07月,124,66,58,-,-
11,新竹縣,2013年07月,62,33,28,1,1
12,苗栗縣,2013年07月,62,38,24,-,-
13,彰化縣,2013年07月,62,41,21,-,-
14,南投縣,2013年07月,62,26,35,1,1
15,雲林縣,2013年07月,62,35,27,-,-
16,嘉義縣,2013年07月,60,37,23,-,-
17,屏東縣,2013年07月,93,66,27,-,-
18,臺東縣,2013年07月,31,31,-,-,-
19,花蓮縣,2013年07月,31,30,1,-,-
20,澎湖縣,2013年07月,31,26,5,-,-
21,金門縣,2013年07月,31,26,5,-,-
22,連江縣,2013年07月,31,26,5,-,-
