序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2015年03月,155,84,71,-,-
2,新北市,2015年03月,279,142,137,-,-
3,臺中市,2015年03月,155,62,93,-,-
4,臺南市,2015年03月,124,20,104,-,-
5,高雄市,2015年03月,248,17,229,2,2
6,基隆市,2015年03月,31,24,7,-,-
7,新竹市,2015年03月,31,17,14,-,-
8,嘉義市,2015年03月,30,3,27,-,-
9,宜蘭縣,2015年03月,62,50,12,-,-
10,桃園市,2015年03月,124,63,61,-,-
11,新竹縣,2015年03月,62,35,27,-,-
12,苗栗縣,2015年03月,62,34,28,-,-
13,彰化縣,2015年03月,62,25,36,1,1
14,南投縣,2015年03月,62,3,58,1,1
15,雲林縣,2015年03月,62,12,48,2,2
16,嘉義縣,2015年03月,62,7,55,-,-
17,屏東縣,2015年03月,93,30,63,-,-
18,臺東縣,2015年03月,31,29,2,-,-
19,花蓮縣,2015年03月,31,30,1,-,-
20,澎湖縣,2015年03月,31,21,10,-,-
21,金門縣,2015年03月,31,10,21,-,-
22,連江縣,2015年03月,31,14,17,-,-
