序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2016年09月,150,128,22,-,-
2,新北市,2016年09月,269,203,66,-,-
3,臺中市,2016年09月,150,89,61,-,-
4,臺南市,2016年09月,120,57,58,5,5
5,高雄市,2016年09月,234,119,100,15,15
6,基隆市,2016年09月,30,25,5,-,-
7,新竹市,2016年09月,30,23,7,-,-
8,嘉義市,2016年09月,30,15,15,-,-
9,宜蘭縣,2016年09月,59,55,4,-,-
10,桃園市,2016年09月,119,100,19,-,-
11,新竹縣,2016年09月,60,53,7,-,-
12,苗栗縣,2016年09月,60,40,20,-,-
13,彰化縣,2016年09月,60,39,21,-,-
14,南投縣,2016年09月,60,28,32,-,-
15,雲林縣,2016年09月,60,33,27,-,-
16,嘉義縣,2016年09月,60,34,24,2,2
17,屏東縣,2016年09月,83,47,33,3,3
18,臺東縣,2016年09月,30,27,3,-,-
19,花蓮縣,2016年09月,30,27,3,-,-
20,澎湖縣,2016年09月,29,24,5,-,-
21,金門縣,2016年09月,30,11,19,-,-
22,連江縣,2016年09月,30,13,17,-,-
