序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2013年08月,155,83,72,-,-
2,新北市,2013年08月,279,146,132,1,1
3,臺中市,2013年08月,155,88,67,-,-
4,臺南市,2013年08月,123,100,23,-,-
5,高雄市,2013年08月,244,179,63,2,2
6,基隆市,2013年08月,31,17,14,-,-
7,新竹市,2013年08月,31,22,9,-,-
8,嘉義市,2013年08月,31,20,11,-,-
9,宜蘭縣,2013年08月,62,57,5,-,-
10,桃園市,2013年08月,124,67,56,1,1
11,新竹縣,2013年08月,62,32,29,1,1
12,苗栗縣,2013年08月,62,38,24,-,-
13,彰化縣,2013年08月,62,42,20,-,-
14,南投縣,2013年08月,62,25,37,-,-
15,雲林縣,2013年08月,62,41,21,-,-
16,嘉義縣,2013年08月,62,44,18,-,-
17,屏東縣,2013年08月,93,67,26,-,-
18,臺東縣,2013年08月,31,29,2,-,-
19,花蓮縣,2013年08月,31,30,1,-,-
20,澎湖縣,2013年08月,31,27,4,-,-
21,金門縣,2013年08月,31,13,18,-,-
22,連江縣,2013年08月,31,18,13,-,-
