序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2014年08月,155,57,94,4,4
2,新北市,2014年08月,279,104,167,8,8
3,臺中市,2014年08月,155,90,65,-,-
4,臺南市,2014年08月,124,98,26,-,-
5,高雄市,2014年08月,245,172,73,-,-
6,基隆市,2014年08月,31,17,14,-,-
7,新竹市,2014年08月,31,22,9,-,-
8,嘉義市,2014年08月,31,22,9,-,-
9,宜蘭縣,2014年08月,62,58,4,-,-
10,桃園市,2014年08月,124,58,66,-,-
11,新竹縣,2014年08月,62,35,27,-,-
12,苗栗縣,2014年08月,62,40,22,-,-
13,彰化縣,2014年08月,62,51,11,-,-
14,南投縣,2014年08月,62,32,30,-,-
15,雲林縣,2014年08月,62,42,20,-,-
16,嘉義縣,2014年08月,62,48,14,-,-
17,屏東縣,2014年08月,93,66,27,-,-
18,臺東縣,2014年08月,31,31,-,-,-
19,花蓮縣,2014年08月,28,28,-,-,-
20,澎湖縣,2014年08月,31,28,3,-,-
21,金門縣,2014年08月,31,15,16,-,-
22,連江縣,2014年08月,31,15,16,-,-
