序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2014年05月,155,75,80,-,-
2,新北市,2014年05月,279,149,130,-,-
3,臺中市,2014年05月,155,106,49,-,-
4,臺南市,2014年05月,124,62,62,-,-
5,高雄市,2014年05月,248,146,96,6,6
6,基隆市,2014年05月,31,21,10,-,-
7,新竹市,2014年05月,31,18,13,-,-
8,嘉義市,2014年05月,31,21,10,-,-
9,宜蘭縣,2014年05月,62,46,16,-,-
10,桃園市,2014年05月,124,66,58,-,-
11,新竹縣,2014年05月,62,34,28,-,-
12,苗栗縣,2014年05月,62,43,19,-,-
13,彰化縣,2014年05月,62,39,23,-,-
14,南投縣,2014年05月,62,36,26,-,-
15,雲林縣,2014年05月,62,44,18,-,-
16,嘉義縣,2014年05月,62,34,28,-,-
17,屏東縣,2014年05月,93,48,41,4,4
18,臺東縣,2014年05月,31,29,2,-,-
19,花蓮縣,2014年05月,31,28,3,-,-
20,澎湖縣,2014年05月,31,17,14,-,-
21,金門縣,2014年05月,31,9,22,-,-
22,連江縣,2014年05月,31,7,24,-,-
