序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧,懸浮微粒
1,臺北市,2013年01月,155,108,47,-,-,-
2,新北市,2013年01月,257,180,77,-,-,-
3,臺中市,2013年01月,139,69,70,-,-,-
4,臺南市,2013年01月,124,12,110,2,-,2
5,高雄市,2013年01月,248,23,205,20,2,18
6,基隆市,2013年01月,31,28,3,-,-,-
7,新竹市,2013年01月,31,16,15,-,-,-
8,嘉義市,2013年01月,31,5,26,-,-,-
9,宜蘭縣,2013年01月,62,52,10,-,-,-
10,桃園市,2013年01月,124,72,52,-,-,-
11,新竹縣,2013年01月,62,36,26,-,-,-
12,苗栗縣,2013年01月,62,36,26,-,-,-
13,彰化縣,2013年01月,62,23,39,-,-,-
14,南投縣,2013年01月,62,20,42,-,-,-
15,雲林縣,2013年01月,62,17,44,1,-,1
16,嘉義縣,2013年01月,62,9,49,4,-,4
17,屏東縣,2013年01月,93,30,59,4,1,3
18,臺東縣,2013年01月,31,31,-,-,-,-
19,花蓮縣,2013年01月,31,31,-,-,-,-
20,澎湖縣,2013年01月,31,15,16,-,-,-
21,金門縣,2013年01月,31,1,27,3,-,3
22,連江縣,2013年01月,31,11,19,1,-,1
