序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2013年06月,150,69,80,1,1
2,新北市,2013年06月,269,108,157,4,4
3,臺中市,2013年06月,150,68,82,-,-
4,臺南市,2013年06月,120,61,59,-,-
5,高雄市,2013年06月,240,134,97,9,9
6,基隆市,2013年06月,30,13,17,-,-
7,新竹市,2013年06月,30,19,11,-,-
8,嘉義市,2013年06月,30,15,15,-,-
9,宜蘭縣,2013年06月,60,48,12,-,-
10,桃園市,2013年06月,120,49,71,-,-
11,新竹縣,2013年06月,60,31,28,1,1
12,苗栗縣,2013年06月,60,31,29,-,-
13,彰化縣,2013年06月,60,26,34,-,-
14,南投縣,2013年06月,60,25,35,-,-
15,雲林縣,2013年06月,60,36,24,-,-
16,嘉義縣,2013年06月,60,27,33,-,-
17,屏東縣,2013年06月,90,56,33,1,1
18,臺東縣,2013年06月,30,30,-,-,-
19,花蓮縣,2013年06月,30,29,1,-,-
20,澎湖縣,2013年06月,30,20,10,-,-
21,金門縣,2013年06月,30,20,10,-,-
22,連江縣,2013年06月,30,11,19,-,-
