序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧
1,臺北市,2016年05月,155,82,68,5,5
2,新北市,2016年05月,279,143,133,3,3
3,臺中市,2016年05月,155,73,82,-,-
4,臺南市,2016年05月,124,68,56,-,-
5,高雄市,2016年05月,248,150,96,2,2
6,基隆市,2016年05月,31,19,12,-,-
7,新竹市,2016年05月,31,16,15,-,-
8,嘉義市,2016年05月,31,15,16,-,-
9,宜蘭縣,2016年05月,62,54,8,-,-
10,桃園市,2016年05月,124,62,60,2,2
11,新竹縣,2016年05月,62,35,26,1,1
12,苗栗縣,2016年05月,62,31,31,-,-
13,彰化縣,2016年05月,62,33,29,-,-
14,南投縣,2016年05月,62,27,35,-,-
15,雲林縣,2016年05月,62,28,34,-,-
16,嘉義縣,2016年05月,62,28,34,-,-
17,屏東縣,2016年05月,93,64,27,2,2
18,臺東縣,2016年05月,31,31,-,-,-
19,花蓮縣,2016年05月,29,25,4,-,-
20,澎湖縣,2016年05月,31,21,10,-,-
21,金門縣,2016年05月,31,18,13,-,-
22,連江縣,2016年05月,31,7,24,-,-
