序號,統計區,統計期,總計,良好(0－50),普通(51－100),不良(101－199),臭氧,懸浮微粒
1,臺北市,2013年12月,155,74,80,1,-,1
2,新北市,2013年12月,279,152,126,1,-,1
3,臺中市,2013年12月,155,78,77,-,-,-
4,臺南市,2013年12月,124,8,109,7,-,7
5,高雄市,2013年12月,248,23,211,14,5,9
6,基隆市,2013年12月,31,24,7,-,-,-
7,新竹市,2013年12月,31,15,16,-,-,-
8,嘉義市,2013年12月,31,3,27,1,-,1
9,宜蘭縣,2013年12月,62,49,13,-,-,-
10,桃園市,2013年12月,124,54,69,1,-,1
11,新竹縣,2013年12月,62,34,28,-,-,-
12,苗栗縣,2013年12月,62,39,23,-,-,-
13,彰化縣,2013年12月,62,21,40,1,-,1
14,南投縣,2013年12月,62,13,49,-,-,-
15,雲林縣,2013年12月,62,16,44,2,-,2
16,嘉義縣,2013年12月,62,11,48,3,-,3
17,屏東縣,2013年12月,93,30,59,4,-,4
18,臺東縣,2013年12月,31,26,5,-,-,-
19,花蓮縣,2013年12月,31,25,6,-,-,-
20,澎湖縣,2013年12月,31,7,24,-,-,-
21,金門縣,2013年12月,31,4,21,6,-,6
22,連江縣,2013年12月,31,4,24,3,-,3
